cultivo,anio,campania,provincia,departamento,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_tn_ha,tasa_cosecha
girasol,2017,2017/2018,Buenos Aires,Bragado,1000,1000,2800,2.8,1.0
girasol,2017,2017/2018,Buenos Aires,Junín,500,500,1200,2.4,1.0
girasol,2017,2017/2018,Buenos Aires,Chacabuco,500,500,1200,2.4,1.0
girasol,2017,2017/2018,Buenos Aires,Coronel Suárez,26050,25170,35238,1.4,0.966
girasol,2017,2017/2018,Buenos Aires,Castelli,1500,1500,3000,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Carlos Tejedor,7800,7800,20280,2.6,1.0
girasol,2017,2017/2018,Buenos Aires,Coronel Pringles,18000,16500,33000,2.0,0.917
girasol,2017,2017/2018,Buenos Aires,Chivilcoy,1200,1200,2160,1.8,1.0
girasol,2017,2017/2018,Buenos Aires,Chascomús,2100,2100,4620,2.2,1.0
girasol,2017,2017/2018,Buenos Aires,Coronel Dorrego,46000,44000,79200,1.8,0.957
girasol,2017,2017/2018,Buenos Aires,Coronel de Marina Leonardo Rosales,600,600,600,1.0,1.0
girasol,2017,2017/2018,Buenos Aires,Hipólito Yrigoyen,3000,3000,6000,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,General Juan Madariaga,11500,11500,36800,3.2,1.0
girasol,2017,2017/2018,Buenos Aires,Florentino Ameghino,520,520,1300,2.5,1.0
girasol,2017,2017/2018,Buenos Aires,Tornquist,6000,5300,7420,1.4,0.883
girasol,2017,2017/2018,Buenos Aires,General Guido,3330,3330,7326,2.2,1.0
girasol,2017,2017/2018,Buenos Aires,General Alvear,1400,1400,2800,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,General Alvarado,30475,30475,85330,2.8,1.0
girasol,2017,2017/2018,Buenos Aires,General Belgrano,1308,1269,2094,1.65,0.97
girasol,2017,2017/2018,Buenos Aires,General Arenales,300,300,720,2.4,1.0
girasol,2017,2017/2018,Buenos Aires,General Paz,400,400,800,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Guaminí,25000,25000,55000,2.2,1.0
girasol,2017,2017/2018,Buenos Aires,General Las Heras,350,350,665,1.9,1.0
girasol,2017,2017/2018,Buenos Aires,General La Madrid,20000,19300,27020,1.4,0.965
girasol,2017,2017/2018,Buenos Aires,General Pinto,600,600,1560,2.6,1.0
girasol,2017,2017/2018,Buenos Aires,General Villegas,1100,1100,2530,2.3,1.0
girasol,2017,2017/2018,Buenos Aires,General Viamonte,650,650,1528,2.351,1.0
girasol,2017,2017/2018,Buenos Aires,General Pueyrredón,9800,9800,29400,3.0,1.0
girasol,2017,2017/2018,Buenos Aires,Tapalqué,600,600,1200,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Olavarría,11000,11000,22000,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Laprida,7000,6600,13200,2.0,0.943
girasol,2017,2017/2018,Buenos Aires,Lobería,62612,62612,156530,2.5,1.0
girasol,2017,2017/2018,Buenos Aires,Lincoln,2200,2200,5610,2.55,1.0
girasol,2017,2017/2018,Buenos Aires,Leandro N. Alem,450,450,1080,2.4,1.0
girasol,2017,2017/2018,Buenos Aires,Las Flores,4129,4005,6608,1.65,0.97
girasol,2017,2017/2018,Buenos Aires,Mar Chiquita,11600,11600,32480,2.8,1.0
girasol,2017,2017/2018,Buenos Aires,Maipú,3720,3720,12276,3.3,1.0
girasol,2017,2017/2018,Buenos Aires,Lobos,800,776,1280,1.649,0.97
girasol,2017,2017/2018,Buenos Aires,Luján,950,950,1805,1.9,1.0
girasol,2017,2017/2018,Buenos Aires,Necochea,52000,50000,110000,2.2,0.962
girasol,2017,2017/2018,Buenos Aires,Marcos Paz,250,250,475,1.9,1.0
girasol,2017,2017/2018,Buenos Aires,Navarro,1000,970,1610,1.66,0.97
girasol,2017,2017/2018,Buenos Aires,Monte,700,679,1086,1.599,0.97
girasol,2017,2017/2018,Buenos Aires,Mercedes,300,300,540,1.8,1.0
girasol,2017,2017/2018,Buenos Aires,Tandil,48970,48970,122425,2.5,1.0
girasol,2017,2017/2018,Buenos Aires,Rauch,4550,4550,11830,2.6,1.0
girasol,2017,2017/2018,Buenos Aires,Patagones,1200,1200,1560,1.3,1.0
girasol,2017,2017/2018,Buenos Aires,Puán,10000,9100,12740,1.4,0.91
girasol,2017,2017/2018,Buenos Aires,Pellegrini,25000,25000,62500,2.5,1.0
girasol,2017,2017/2018,Buenos Aires,Pehuajó,8500,8500,22950,2.7,1.0
girasol,2017,2017/2018,Buenos Aires,Pilar,200,200,380,1.9,1.0
girasol,2017,2017/2018,Buenos Aires,Pila,700,700,1610,2.3,1.0
girasol,2017,2017/2018,Buenos Aires,Saavedra,15000,14200,19880,1.4,0.947
girasol,2017,2017/2018,Buenos Aires,Suipacha,500,500,900,1.8,1.0
girasol,2017,2017/2018,Buenos Aires,Roque Pérez,900,873,1397,1.6,0.97
girasol,2017,2017/2018,Buenos Aires,Rivadavia,8200,8200,22140,2.7,1.0
